system:index,AOT,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,MSK_CLASSI_CIRRUS,MSK_CLASSI_OPAQUE,MSK_CLASSI_SNOW_ICE,MSK_CLDPRB,MSK_SNWPRB,NDI45,NDVI,NDVIre,NDWI,NDre1,QA10,QA20,QA60,SCL,TCI_B,TCI_G,TCI_R,VH,VH_VV_ratio,VV,WVP,label,.geo
1536,0.034282353,0.035804,0.10353214,0.048485965,0.043772414,0.0665,0.042943396,0.10503134,0.23054285,0.2540641,0.26160952,0.277925,0.28521922,0.0,0.0,0.0,0.0,0.0,0.41958478,0.7179906,0.42706147,-0.5946475,0.37402016,0.0,0.0,0.0,4.0E-4,0.00425,0.0068,0.0044411765,-14.657262,1.6436217,-8.917662,0.21605,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1537,0.03359091,0.036316667,0.087905884,0.049107693,0.037,0.0603875,0.040877778,0.09562,0.19364,0.22439411,0.24470833,0.23615833,0.2224238,0.0,0.0,0.0,0.0,0.0,0.40104845,0.7137271,0.43807206,-0.60414076,0.33886468,0.0,0.0,0.0,4.0E-4,0.00415,0.0064,0.0042,-13.439757,1.8374211,-7.314468,0.2139,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1538,0.034285713,0.03914286,0.1104125,0.053728573,0.03706,0.06408,0.041315,0.10735556,0.22839166,0.26179,0.27363285,0.28331,0.26576915,0.0,0.0,0.0,0.0,0.0,0.44420737,0.7376391,0.43643662,-0.620506,0.3604977,0.0,0.0,0.0,4.0E-4,0.00391,0.00664,0.0044375,-14.706143,1.6983428,-8.659114,0.23181666,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1539,0.034227274,0.037415385,0.10309032,0.04374483,0.037591666,0.060589656,0.03709231,0.103425644,0.24602416,0.2833909,0.2906077,0.30996665,0.30476406,0.0,0.0,0.0,0.0,0.0,0.47206306,0.7736203,0.47504115,-0.6549538,0.4080658,0.0,0.0,0.0,4.0E-4,0.004,0.0063,0.00385,-14.338146,1.7282537,-8.29632,0.22441667,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1540,0.03482222,0.034941666,0.1187,0.052362964,0.043633334,0.060586665,0.044863157,0.09928125,0.22451538,0.26865,0.25934285,0.29096666,0.2847125,0.0,0.0,0.0,0.0,0.0,0.37752485,0.70504755,0.44632137,-0.6212499,0.38676786,0.0,0.0,0.0,4.0E-4,0.0041,0.0062,0.0044636363,-15.196864,1.8071036,-8.409514,0.2246,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1541,0.033575,0.027528571,0.0877125,0.04085,0.03621111,0.060033333,0.036783334,0.10360833,0.24381112,0.2758143,0.2867875,0.2987125,0.29285556,0.0,0.0,0.0,0.0,0.0,0.4759898,0.77264124,0.46921396,-0.6538078,0.4035548,0.0,0.0,0.0,4.0E-4,0.00388,0.0062,0.0037,-14.748448,1.5024161,-9.816487,0.24076666,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1542,0.03538,0.0369,0.10375625,0.05377273,0.045366667,0.06823125,0.05263889,0.10537857,0.2087875,0.23834792,0.24401538,0.25955832,0.24777895,0.0,0.0,0.0,1.0E-4,0.0,0.33375856,0.64511627,0.39679226,-0.5629657,0.32915372,0.0,0.0,0.0,4.0E-4,0.0047,0.007,0.00525,-14.118882,1.6446357,-8.584808,0.2246,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1543,0.0328,0.034,0.07878333,0.04046,0.03423333,0.057825,0.03955,0.098125,0.1888,0.20982857,0.2118,0.2239,0.2162,0.0,0.0,0.0,0.0,0.0,0.42545852,0.6852994,0.36678225,-0.5710709,0.31602335,0.0,0.0,0.0,4.0E-4,0.0036,0.0059,0.0041,-14.515628,1.5518914,-9.353507,0.2221,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1544,0.035608333,0.032375,0.09645556,0.04386818,0.03912143,0.06418333,0.040672224,0.10774,0.24507777,0.2773125,0.2842,0.30391428,0.30651817,0.0,0.0,0.0,0.0,0.0,0.45190197,0.74961096,0.450222,-0.6315362,0.3892598,0.0,0.0,0.0,4.0E-4,0.004,0.0064,0.0041,-14.917541,1.6063684,-9.2865,0.21736667,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1545,0.03374,0.026765,0.09184286,0.036811765,0.033727273,0.056652173,0.033524,0.09780769,0.25196072,0.29851428,0.31482354,0.31809375,0.32472777,0.0,0.0,0.0,0.0,0.0,0.48947585,0.8075256,0.5259317,-0.69498855,0.44072884,0.0,0.0,0.0,4.0E-4,0.0037714285,0.0057,0.0033454546,-14.463651,1.6012195,-9.032897,0.21265714,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1546,0.0336,0.035853848,0.084016666,0.03873939,0.05046,0.067002855,0.04565,0.08825455,0.1861125,0.21262223,0.18258333,0.22856666,0.22248462,0.0,0.0,0.0,0.0,0.0,0.31817102,0.59997076,0.34828505,-0.46308842,0.356668,0.0,0.0,0.0,4.0E-4,0.00494,0.0068,0.0048,-16.600388,1.5525804,-10.692128,0.225575,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1547,0.03483158,0.0357,0.0995069,0.048646152,0.034289286,0.05788108,0.04326279,0.112925,0.23823929,0.271265,0.28904167,0.29486924,0.28454053,0.0,0.0,0.0,0.0,0.0,0.44601572,0.73961955,0.4381375,-0.66631716,0.35685372,0.0,0.0,0.0,4.0E-4,0.004,0.0063,0.00405,-15.1970005,1.4973758,-10.149089,0.22087143,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
